Jimond Ivey,36,28,29.2,3.5,6.8,.520,2.6,4.0,.650,0.9,2.8,.337,2.2,2.9,.767,1.4,4.4,5.8,2.0,1.1,0.3,1.4,2.5,10.2,0
Antino Jackson,35,26,23.4,2.9,7.1,.408,1.5,3.0,.500,1.4,4.1,.340,1.6,2.2,.718,0.4,1.8,2.2,2.3,0.9,0.1,1.7,1.9,8.8,0
Noah Robotham,33,32,29.7,2.6,6.4,.401,1.1,2.7,.416,1.5,3.7,.390,2.2,2.8,.793,0.3,1.8,2.1,3.0,0.8,0.0,1.3,1.8,8.8,0
Josh Williams,35,9,21.9,2.5,6.5,.388,0.5,1.1,.500,2.0,5.4,.365,0.5,0.8,.643,0.6,1.3,1.9,0.7,0.5,0.0,1.1,1.6,7.5,0
Daniel Utomi,30,2,9.6,1.5,3.4,.446,0.6,1.3,.487,0.9,2.1,.419,0.9,1.3,.692,0.2,1.0,1.2,0.3,0.3,0.1,0.6,1.0,4.8,0
Aaron Jackson,32,9,13.2,1.4,3.2,.436,0.5,1.0,.515,0.8,2.1,.397,0.6,0.9,.679,0.6,1.3,1.8,0.6,0.4,0.1,0.6,1.4,4.2,0
Tavian Dunn-Martin,36,1,10.7,1.4,3.5,.389,0.4,1.1,.421,0.9,2.4,.375,0.4,0.5,.778,0.1,0.8,0.8,1.1,0.3,0.0,0.7,1.0,4.0,0
Emmanuel Olojakpoke,33,1,5.9,1.1,1.5,.686,1.1,1.5,.686,0.0,0.0,,0.3,0.5,.500,0.5,0.8,1.4,0.0,0.1,0.6,0.2,1.5,2.4,0
Craig Eubanks,4,0,6.5,0.8,1.3,.600,0.3,0.3,1.000,0.5,1.0,.500,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.3,0.8,0.0,2.0,0
Michael Hughes,20,1,7.3,0.6,1.2,.458,0.6,1.2,.458,0.0,0.0,,0.7,1.0,.650,0.4,0.8,1.2,0.4,0.3,0.5,0.5,1.3,1.8,0
